depth index,current depth,current Joint positions,current joint effort
1,0.10650837155999997,-0.057132005530225502,-0.27724289055133899
1,0.10650966785,-0.059315608250412474,-0.30771176720969884
1,0.10651355671999999,-0.061467933902458846,-0.34247602384623194
1,0.10651355671999999,-0.063607130908619053,-0.37617823598266709
1,0.10651874188000002,-0.065778377256207263,-0.4080631719744906
1,0.10652003817000003,-0.068002524323983918,-0.43447267854358806
1,0.10652522333,-0.070150988609593179,-0.46767926991331105
1,0.10652911220000003,-0.072288641069178539,-0.50367077797217918
1,0.10653053811900004,-0.07448846152840137,-0.53114232904137448
1,0.10653429736000004,-0.076671678111944627,-0.5611863878996951
1,0.10653941770550004,-0.078911270645469753,-0.58492898272410243
1,0.10654226954349996,-0.081009537167396561,-0.62325698868318602
1,0.10654726026000001,-0.083214377402987635,-0.65162537733024151
